id,name,area,address,phone,lat,lng,onDuty
1,صيدلية بوعشة فريد,شارع 08 نوفمبر,"Rue 08 Novembre, Sidi Bel Abbès",,35.1994115,-0.6453492,False
2,صيدلية أنس بن الأزهر,سيدي جيلالي,"Agence Foncière, Sidi Djilali",040 73 11 11,35.2100923,-0.6308727,True
3,صيدلية منصور وفاء,سيدي جيلالي,"250 Segar Abdelaziz, Secteur 1, Sidi Djilali",,35.2156413,-0.6350891,False
4,صيدلية بن حمودة,سيدي بلعباس,"Unnamed Rd, Sidi Bel Abbès 22000",0557 48 64 80,35.2194202,-0.6259365,False
5,صيدلية د. عربي,روڨاب عكاشة,"Telmouni N°23 Lot 36, Rouggab Okkacha",0542 61 77 50,35.1736176,-0.5448622,True
6,صيدلية بن عز الدين عبد الصمد,بوليفار بنديدة,"56 Bd Bendida Mohamed, 22002",0770 80 52 35,35.1950042,-0.61941,False
7,صيدلية رقبال محل,سيدي بلعباس,17 Rue Laziz Ghalem,0542 69 78 07,35.1976143,-0.6484907,False
8,صيدلية د. عراد بن علي,حي 100 مسكن,Cité 100 Logements Aile A N°1,048 76 77 85,35.1966647,-0.6176962,True
9,صيدلية بلعربي الحسين,AADL,"AADL, Sidi Bel Abbès 22000",0549 67 98 94,35.2185763,-0.6275044,False
10,صيدلية معاشو محمد,حي 237 مسكن,Cité 237 Logts,0561 06 28 18,35.2125875,-0.6232656,False
11,صيدلية المؤسسة,حي الجزائرة,"Site 2 DGSN, Haï El Djazeera",0668 73 38 31,35.1785633,-0.6117378,False
12,صيدلية نبال,بوليفار عبان رمضان,"Bd Abane Ramdane, 22002",0542 31 47 07,35.1923259,-0.6186891,False
13,صيدلية سي أحمد نذير,سيدي بلعباس,Sidi Bel Abbès 22000,0664 40 64 46,35.2122881,-0.6251282,False
14,صيدلية عصاد,بوليفار محمد الخميستي,04 Bd Mohamed Khemisti,,35.1866666,-0.632567,False
15,صيدلية سيد أحمد,شارع الراسي مهاجي,Rue Rassi M'Hadji,,35.2056856,-0.6299211,False
16,صيدلية شارع حواورية عبد القادر,سيدي بلعباس,Rue Houaoria Abdelkader,048 72 40 31,35.1870193,-0.6470397,False
17,صيدلية حاجب إبراهيم,بوليفار عيساط إيدير,Unnamed Rd,048 72 09 53,35.2164652,-0.6206502,False
18,صيدلية فرتوت,سيدي بلعباس,"Unnamed Rd, 22002",048 75 82 31,35.1893368,-0.6123998,False
19,صيدلية بوزيدي يحيى,سيدي بلعباس,Unnamed Rd,048 77 50 35,35.1753948,-0.6215078,False
20,صيدلية شرشالي,شارع أحمد زبانة,Rue Ahmed Zabana,,35.1876422,-0.6225517,False
21,صيدلية بن حدو,سيدي بلعباس,Sidi Bel Abbès,,35.214565,-0.620614,False
22,صيدلية حماد جيلالي,بوليفار عيساط إيدير,Bd Aissat Idir,0559 56 87 22,35.1945066,-0.6248018,True
23,صيدلية هديبي,سيدي بلعباس,Sidi Bel Abbès,,35.2121015,-0.6290114,False
24,صيدلية طلحة,سيدي بلعباس,Sidi Bel Abbès,0779 23 47 38,35.2116249,-0.6214044,False
25,صيدلية بلحاج عمر بلقاسم,نهج بوشارب زيتوني,22002,,35.1883583,-0.6158417,False
26,صيدلية الشيخ أمين,سيدي بلعباس,Sidi Bel Abbès,,35.182191,-0.6311097,True
27,صيدلية الوفاء,سيدي بلعباس,Sidi Bel Abbès,,35.2092497,-0.6506582,False
28,صيدلية شارع مدغشقر,شارع مدغشقر,25 Rue Madagascar,,35.1839758,-0.6442548,False
29,صيدلية سيدي بلعباس الجديدة,حي 500 مسكن,Cité 500 Logements,0540 11 22 33,35.205,-0.615,False
30,صيدلية النجاح,حي البدر,Cité El Badr,0660 44 55 66,35.195,-0.635,False
31,صيدلية الرائد,حي الأمير,Cité El Amir,,35.21,-0.64,True
32,صيدلية سفيزف المركزية,نهج الاستقلال,"Rue de l'Indépendance, Sfisef",048 70 12 34,35.2333,-0.25,True
33,صيدلية الشفاء سفيزف,شارع أول نوفمبر,"Bd 1er Novembre, Sfisef",0550 77 88 99,35.235,-0.248,False
34,صيدلية النور سفيزف,حي الزيتون,"Cité Ezzitoune, Sfisef",,35.23,-0.255,False
35,صيدلية ابن باديس المركزية,ساحة الشهداء,"Place des Martyrs, Ben Badis",048 77 12 34,35.2667,-0.5667,False
36,صيدلية الأمل بن باديس,نهج الأمير عبد القادر,"Rue Emir Abdelkader, Ben Badis",0665 33 44 55,35.268,-0.564,False
37,صيدلية الحياة بن باديس,الطريق الوطني 7,"RN7, Ben Badis",,35.27,-0.56,True
38,صيدلية تلاغ الكبرى,وسط المدينة,"Centre-ville, Telagh",048 75 55 66,34.7833,-0.5833,False
39,صيدلية السلام تلاغ,حي السلام,"Cité Essalam, Telagh",,34.785,-0.58,False
40,صيدلية مناوبة تلاغ,طريق سيدي بلعباس,"Route de SBA, Telagh",0770 55 44 33,34.78,-0.59,True
41,صيدلية رأس الماء,حي الأمير,"Cité El Amir, Ras El Ma",048 73 22 11,34.5,-0.8167,False
42,صيدلية الرجاء رأس الماء,نهج الشهداء,"Rue des Martyrs, Ras El Ma",,34.502,-0.814,False
43,صيدلية عين البرد 24,شارع الأمير عبد القادر,"Bd Emir Abdelkader, Aïn El Berd",0550 11 22 33,35.3667,-0.5167,True
44,صيدلية عين البرد الجديدة,حي 5 جويلية,"Cité 5 Juillet, Aïn El Berd",0660 22 33 44,35.368,-0.514,False
45,صيدلية النصر عين البرد,الطريق الولائي,"CW, Aïn El Berd",,35.37,-0.52,False
46,صيدلية تسالة,الحي الإداري,"Quartier Administratif, Tessala",048 74 55 77,35.25,-0.7667,False
47,صيدلية المنار تسالة,نهج فلسطين,"Rue Palestine, Tessala",,35.248,-0.77,False
48,صيدلية مرين,الطريق الولائي,"Route de Wilaya, Merine",0545 66 77 88,34.7833,-0.4667,True
49,صيدلية مرين الشرقية,حي النخيل,"Cité Ennakhil, Merine",,34.785,-0.464,False
50,صيدلية مصطفى بن ابراهيم,نهج الشهداء,"Rue des Martyrs, M. Ben Brahim",0540 33 44 55,35.2,-0.3667,False
51,صيدلية الأقصى,حي القدس,"Cité El Qods, M. Ben Brahim",,35.198,-0.37,False
52,صيدلية تنيرة,المركز,"Centre, Tenira",0790 55 66 77,35.0167,-0.5333,False
53,صيدلية تنيرة 24,طريق وهران,"Route d'Oran, Tenira",,35.018,-0.53,True
54,صيدلية الحصايبة,وسط البلدية,"Centre, El Hacaiba",0660 99 88 77,34.7,-0.75,False
